Linux 6.8.0-1063-raspi (cube1-2) 	09/17/26 	_aarch64_	(4 CPU)

17:25:59      UID       PID   cswch/s nvcswch/s  Command
17:26:00     1004   2353224      0.00      0.00  shardkv_gateway
17:26:01     1004   2353224      0.00      0.00  shardkv_gateway
17:26:02     1004   2353224      0.00      0.00  shardkv_gateway
17:26:03     1004   2353224      0.00      0.00  shardkv_gateway
17:26:04     1004   2353224      0.00      0.00  shardkv_gateway
17:26:05     1004   2353224      0.00      0.00  shardkv_gateway
17:26:06     1004   2353224      0.00      0.00  shardkv_gateway
17:26:07     1004   2353224      0.00      0.00  shardkv_gateway
17:26:08     1004   2353224      0.00      0.00  shardkv_gateway
17:26:09     1004   2353224      0.00      0.00  shardkv_gateway
17:26:10     1004   2353224      0.00      0.00  shardkv_gateway
17:26:11     1004   2353224      0.00      0.00  shardkv_gateway
17:26:12     1004   2353224      0.00      0.00  shardkv_gateway
17:26:13     1004   2353224      0.00      0.00  shardkv_gateway
17:26:14     1004   2353224      0.00      0.00  shardkv_gateway
17:26:15     1004   2353224      0.00      0.00  shardkv_gateway
17:26:16     1004   2353224      0.00      0.00  shardkv_gateway
17:26:17     1004   2353224      0.00      0.00  shardkv_gateway
17:26:18     1004   2353224      0.00      0.00  shardkv_gateway
17:26:19     1004   2353224     60.00      7.00  shardkv_gateway
17:26:20     1004   2353224      0.00      0.00  shardkv_gateway
17:26:21     1004   2353224      0.00      0.00  shardkv_gateway
17:26:22     1004   2353224      0.00      0.00  shardkv_gateway
17:26:23     1004   2353224      0.00      0.00  shardkv_gateway
17:26:24     1004   2353224      0.00      0.00  shardkv_gateway
17:26:25     1004   2353224      0.00      0.00  shardkv_gateway
17:26:26     1004   2353224      0.00      0.00  shardkv_gateway
17:26:27     1004   2353224      0.00      0.00  shardkv_gateway
17:26:28     1004   2353224      0.00      0.00  shardkv_gateway
17:26:29     1004   2353224      0.00      0.00  shardkv_gateway
17:26:30     1004   2353224      0.00      0.00  shardkv_gateway
17:26:31     1004   2353224      0.00      0.00  shardkv_gateway
17:26:32     1004   2353224      0.00      0.00  shardkv_gateway
17:26:33     1004   2353224      0.00      0.00  shardkv_gateway
17:26:34     1004   2353224      0.00      0.00  shardkv_gateway
17:26:35     1004   2353224      0.00      0.00  shardkv_gateway
17:26:36     1004   2353224      0.00      0.00  shardkv_gateway
17:26:37     1004   2353224      0.00      0.00  shardkv_gateway
17:26:38     1004   2353224      0.00      0.00  shardkv_gateway
17:26:39     1004   2353224      0.00      0.00  shardkv_gateway
17:26:40     1004   2353224      0.00      0.00  shardkv_gateway
17:26:41     1004   2353224      0.00      0.00  shardkv_gateway
17:26:42     1004   2353224      0.00      0.00  shardkv_gateway
17:26:43     1004   2353224      0.00      0.00  shardkv_gateway
