Linux 6.8.0-1063-raspi (cube1-2) 	09/17/26 	_aarch64_	(4 CPU)

15:50:06      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:50:07     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:08     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:09     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:10     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:11     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:12     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:13     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:14     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:15     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:16     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:17     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:18     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:19     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:20     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:21     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:22     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:23     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:24     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:25     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:26     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:27     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:28     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:29     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:30     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:31     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:32     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:33     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:34     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:35     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:36     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:50:37     1004   2351064    1.00    7.00    0.00    0.00    8.00     2  shardkv_gateway
15:50:38     1004   2351064   21.00  120.00    0.00    0.00  141.00     3  shardkv_gateway
15:50:39     1004   2351064   21.00  124.00    0.00    0.00  145.00     3  shardkv_gateway
15:50:40     1004   2351064   23.00  125.00    0.00    0.00  148.00     3  shardkv_gateway
15:50:41     1004   2351064   21.00  127.00    0.00    0.00  148.00     3  shardkv_gateway
15:50:42     1004   2351064   22.00  126.00    0.00    0.00  148.00     3  shardkv_gateway
15:50:43     1004   2351064   24.00  124.00    0.00    0.00  148.00     3  shardkv_gateway
15:50:44     1004   2351064   22.00  126.00    0.00    0.00  148.00     3  shardkv_gateway
15:50:45     1004   2351064   23.00  123.00    0.00    0.00  146.00     3  shardkv_gateway
15:50:46     1004   2351064   22.00  126.00    0.00    0.00  148.00     3  shardkv_gateway
15:50:47     1004   2351064   23.00  125.00    0.00    0.00  148.00     3  shardkv_gateway
15:50:48     1004   2351064   23.00  124.00    0.00    0.00  147.00     3  shardkv_gateway
15:50:49     1004   2351064   23.00  122.00    0.00    0.00  145.00     3  shardkv_gateway
15:50:50     1004   2351064   22.00  126.00    0.00    0.00  148.00     3  shardkv_gateway
15:50:51     1004   2351064   20.00  127.00    0.00    0.00  147.00     3  shardkv_gateway
15:50:52     1004   2351064   22.00  123.00    0.00    0.00  145.00     3  shardkv_gateway
15:50:53     1004   2351064   22.00  125.00    0.00    0.00  147.00     3  shardkv_gateway
15:50:54     1004   2351064   24.00  123.00    0.00    0.00  147.00     3  shardkv_gateway
15:50:55     1004   2351064   22.77  122.77    0.00    0.00  145.54     3  shardkv_gateway
15:50:56     1004   2351064   22.00  125.00    0.00    0.00  147.00     3  shardkv_gateway
15:50:57     1004   2351064   20.00  126.00    0.00    0.00  146.00     3  shardkv_gateway
15:50:58     1004   2351064   22.00  126.00    0.00    0.00  148.00     3  shardkv_gateway
15:50:59     1004   2351064   20.00  128.00    0.00    0.00  148.00     3  shardkv_gateway
15:51:00     1004   2351064   23.00  125.00    0.00    0.00  148.00     3  shardkv_gateway
15:51:01     1004   2351064   26.00  123.00    0.00    0.00  149.00     3  shardkv_gateway
15:51:02     1004   2351064   22.00  126.00    0.00    0.00  148.00     3  shardkv_gateway
15:51:03     1004   2351064   24.00  125.00    0.00    0.00  149.00     3  shardkv_gateway
15:51:04     1004   2351064   22.00  124.00    0.00    0.00  146.00     3  shardkv_gateway
15:51:05     1004   2351064   24.00  125.00    0.00    0.00  149.00     3  shardkv_gateway
15:51:06     1004   2351064   22.00  127.00    0.00    0.00  149.00     3  shardkv_gateway
15:51:07     1004   2351064   23.00  122.00    0.00    0.00  145.00     3  shardkv_gateway
15:51:08     1004   2351064   23.00  124.00    0.00    0.00  147.00     3  shardkv_gateway
15:51:09     1004   2351064   23.00  127.00    0.00    0.00  150.00     3  shardkv_gateway
15:51:10     1004   2351064    0.00    1.00    0.00    0.00    1.00     3  shardkv_gateway
15:51:11     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:51:12     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:51:13     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:51:14     1004   2351064    0.00    0.00    0.00    0.00    0.00     3  shardkv_gateway
15:51:15     1004   2351064    1.00    6.00    0.00    0.00    7.00     2  shardkv_gateway
15:51:16     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:17     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:18     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:19     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:20     1004   2351064    1.00    4.00    0.00    0.00    5.00     2  shardkv_gateway
15:51:21     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:22     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:23     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:24     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:25     1004   2351064    2.00   18.00    0.00    0.00   20.00     2  shardkv_gateway
15:51:26     1004   2351064   21.00  126.00    0.00    0.00  147.00     2  shardkv_gateway
15:51:27     1004   2351064   19.00  124.00    0.00    0.00  143.00     2  shardkv_gateway
15:51:28     1004   2351064   20.00  128.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:29     1004   2351064   23.00  125.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:30     1004   2351064   22.00  125.00    0.00    0.00  147.00     2  shardkv_gateway
15:51:31     1004   2351064   24.00  125.00    0.00    0.00  149.00     2  shardkv_gateway
15:51:32     1004   2351064   22.00  125.00    0.00    0.00  147.00     2  shardkv_gateway
15:51:33     1004   2351064   22.00  126.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:34     1004   2351064   23.00  126.00    0.00    0.00  149.00     2  shardkv_gateway
15:51:35     1004   2351064   21.00  127.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:36     1004   2351064   18.81  126.73    0.00    0.00  145.54     2  shardkv_gateway
15:51:37     1004   2351064   25.00  123.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:38     1004   2351064   23.00  125.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:39     1004   2351064   21.00  126.00    0.00    0.00  147.00     2  shardkv_gateway
15:51:40     1004   2351064   23.00  125.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:41     1004   2351064   23.00  124.00    0.00    0.00  147.00     2  shardkv_gateway
