t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0089,541,48,493,0,16,541,541,541,541,541,541,541,541,541,541,541,541,0
36.0091,2263,212,2051,0,16,2263,2263,2263,2263,2263,2263,2263,2263,2263,2263,2263,2263,0
37.0093,2324,196,2128,0,16,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,0
38.0095,2319,221,2098,0,16,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,0
39.0097,2310,234,2076,0,16,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,0
40.0099,2276,219,2057,0,16,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,0
41.0101,2370,256,2114,0,16,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,0
42.0103,2401,249,2152,0,16,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,0
43.0105,2279,273,2006,0,16,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,0
44.0107,2405,327,2078,0,16,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,0
45.0109,2266,301,1965,0,16,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,0
46.0111,2328,320,2008,0,16,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,0
47.0113,2287,334,1953,0,16,2287,2287,2287,2287,2287,2287,2287,2287,2287,2287,2287,2287,0
48.0115,2245,330,1915,0,16,2245,2245,2245,2245,2245,2245,2245,2245,2245,2245,2245,2245,0
49.0117,2367,318,2049,0,16,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,0
50.012,2293,341,1952,0,16,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,0
51.0122,2279,335,1944,0,16,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,0
52.0124,2383,386,1997,0,16,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,0
53.0126,2333,360,1973,0,16,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,0
54.0128,2208,357,1851,0,16,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,0
55.0131,2274,422,1852,0,16,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,0
56.0133,2266,352,1914,0,16,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,0
57.0135,2381,457,1924,0,16,2381,2381,2381,2381,2381,2381,2381,2381,2381,2381,2381,2381,0
58.0137,2243,451,1792,0,16,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243,0
59.014,2291,462,1829,0,16,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,0
60.0142,2261,473,1788,0,16,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,0
61.0144,2318,495,1823,0,16,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,0
62.0146,2291,472,1819,0,16,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,0
63.0149,2286,488,1798,0,16,2286,2286,2286,2286,2286,2286,2286,2286,2286,2286,2286,2286,0
64.0151,2301,466,1835,0,16,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301,0
65.0153,2157,458,1699,0,16,2157,2157,2157,2157,2157,2157,2157,2157,2157,2157,2157,2157,0
66.0155,2317,519,1798,0,16,2314,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,0
67.0158,1714,367,1347,0,16,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,0
68.016,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
69.0162,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
70.0164,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
71.0167,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
72.0169,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
73.0172,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
74.0175,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
75.0177,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
76.0179,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
77.0181,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
78.0185,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
79.0187,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
80.019,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
81.0192,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
82.0195,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
83.0197,695,179,516,0,16,695,695,695,695,695,695,695,695,695,695,695,695,0
84.0199,2291,504,1787,0,16,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,0
85.0201,2363,515,1848,0,16,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,0
