procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 3898632      0 3509944    0    0     0     0  618    1  0  0 99  0  0  0
 0  0      0 3899028      0 3509948    0    0     0     0  780  553  0  1 99  0  0  0
 0  0      0 3899028      0 3509948    0    0     0     0  991  677  1  1 99  0  0  0
 0  0      0 3899028      0 3509948    0    0     0     0  872  607  0  1 99  0  0  0
 0  0      0 3899028      0 3509948    0    0     0     0  544  449  0  0 100  0  0  0
 0  0      0 3899028      0 3509948    0    0     0     0  575  500  0  0 100  0  0  0
 0  0      0 3899028      0 3509948    0    0     0     0  576  469  0  0 100  0  0  0
 1  0      0 3899028      0 3509948    0    0     0     0  638  491  0  0 99  0  0  0
 1  0      0 3899028      0 3509948    0    0     0     0  473  343  0  1 100  0  0  0
 0  0      0 3899028      0 3509948    0    0     0     0  509  431  0  0 99  0  0  0
 0  0      0 3899028      0 3509948    0    0     0     0  760  709  0  1 99  0  0  0
 0  0      0 3899028      0 3509948    0    0     0     0  675  628  0  1 99  0  0  0
 0  0      0 3899028      0 3509948    0    0     0     0  571  487  0  0 100  0  0  0
 1  0      0 3896320      0 3509948    0    0     0     0 33463 28804  3 25 72  0  0  0
 2  0      0 3896200      0 3509948    0    0     0     0 50823 44208  5 37 58  0  0  0
 0  0      0 3895884      0 3509948    0    0     0     0 50813 44259  6 36 58  0  0  0
 4  0      0 3896084      0 3509948    0    0     0     0 50607 44130  5 36 58  0  0  0
 1  0      0 3896640      0 3509948    0    0     0     0 50975 44371  5 36 59  0  0  0
 3  0      0 3896488      0 3509948    0    0     0     0 51194 44603  5 37 58  0  0  0
 1  0      0 3896200      0 3509948    0    0     0     0 51056 44591  6 36 58  0  0  0
 4  0      0 3896544      0 3509948    0    0     0     0 50658 44110  5 36 59  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3896340      0 3509948    0    0     0     0 50842 44365  6 36 58  0  0  0
 2  0      0 3896440      0 3509948    0    0     0     0 51054 44369  5 36 59  0  0  0
 3  0      0 3895992      0 3509948    0    0     0     0 50789 44168  6 36 58  0  0  0
 3  0      0 3896176      0 3509948    0    0     0     0 49899 43416  5 34 60  0  0  0
 7  0      0 3895892      0 3509948    0    0     0     0 50869 44359  6 37 57  0  0  0
 0  0      0 3896472      0 3509952    0    0     0     0 50506 43981  5 37 59  0  0  0
 1  0      0 3896472      0 3509952    0    0     0     0 50608 44009  6 36 58  0  0  0
 1  0      0 3896268      0 3509952    0    0     0     0 50525 44213  5 36 59  0  0  0
 0  0      0 3896252      0 3509952    0    0     0     0 50537 43954  6 36 59  0  0  0
 2  0      0 3896292      0 3509952    0    0     0     0 50718 44333  6 36 58  0  0  0
 2  0      0 3896496      0 3509956    0    0     0     0 50415 43824  6 36 58  0  0  0
 4  0      0 3896776      0 3509956    0    0     0     0 50877 44156  6 36 58  0  0  0
 1  0      0 3896528      0 3509956    0    0     0     0 50823 44426  5 36 59  0  0  0
 0  0      0 3896896      0 3509956    0    0     0     0 51058 44452  5 38 57  0  0  0
 1  0      0 3896448      0 3509956    0    0     0     0 50851 44390  5 36 59  0  0  0
 3  0      0 3896764      0 3509956    0    0     0     0 51030 44389  7 36 57  0  0  0
 4  0      0 3896028      0 3509956    0    0     0     0 50849 44401  6 37 57  0  0  0
 1  0      0 3896124      0 3509956    0    0     0     0 51053 44579  6 37 57  0  0  0
 3  0      0 3896668      0 3509956    0    0     0     0 50761 44233  6 35 59  0  0  0
 0  0      0 3896660      0 3509956    0    0     0     0 50720 44175  5 36 59  0  0  0
 3  0      0 3896972      0 3509956    0    0     0     0 50966 44532  6 36 58  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 3896380      0 3509956    0    0     0     0 50602 43926  5 36 59  0  0  0
 3  0      0 3896300      0 3509960    0    0     0     0 49186 42782  6 36 58  0  0  0
 2  0      0 3896596      0 3509960    0    0     0     0 50769 44489  6 36 59  0  0  0
 2  0      0 3896868      0 3509960    0    0     0     0 16569 14323  2 11 88  0  0  0
 0  0      0 3897028      0 3509960    0    0     0     0  651  641  1  0 99  0  0  0
 1  0      0 3897124      0 3509960    0    0     0     0  501  365  0  0 100  0  0  0
 1  0      0 3897124      0 3509960    0    0     0     0  660  600  0  0 100  0  0  0
 1  0      0 3897124      0 3509960    0    0     0     0  547  465  0  0 99  0  0  0
 0  0      0 3895504      0 3510008    0    0     0     0 1622 1220  0  2 98  0  0  0
 0  0      0 3895828      0 3510008    0    0     0     0  600  485  0  1 99  0  0  0
 0  0      0 3895608      0 3510008    0    0     0     0  744  642  0  0 99  0  0  0
 1  0      0 3895608      0 3510008    0    0     0     0  599  468  0  1 99  0  0  0
 0  0      0 3895608      0 3510008    0    0     0     0  307  189  0  0 100  0  0  0
 0  0      0 3894772      0 3510008    0    0     0     0 1635 1174  0  2 98  0  0  0
 1  0      0 3894876      0 3510008    0    0     0     0  640  528  0  0 100  0  0  0
 1  0      0 3894876      0 3510008    0    0     0     0  565  444  0  1 100  0  0  0
 1  0      0 3895036      0 3510008    0    0     0     0  626  578  0  0 99  0  0  0
 0  0      0 3894904      0 3510008    0    0     0     0  575  472  0  1 99  0  0  0
 0  0      0 3901676      0 3510008    0    0     0     0 1709 1174  0  2 97  0  0  0
 1  0      0 3901676      0 3510008    0    0     0     0 39461 34298  4 28 68  0  0  0
 1  0      0 3901316      0 3510008    0    0     0     0 47807 41669  4 36 60  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3901604      0 3510008    0    0     0     0 50858 44568  6 36 58  0  0  0
 2  0      0 3902052      0 3510008    0    0     0     0 51002 44354  5 36 59  0  0  0
 1  0      0 3901828      0 3510008    0    0     0     0 51028 44529  6 37 58  0  0  0
 3  0      0 3901640      0 3510008    0    0     0     0 51062 44575  6 37 58  0  0  0
 2  0      0 3901960      0 3510008    0    0     0     0 50951 44270  5 37 58  0  0  0
 2  0      0 3902056      0 3510008    0    0     0     0 50881 44523  6 36 58  0  0  0
 1  0      0 3901872      0 3510008    0    0     0     0 51000 44255  6 36 58  0  0  0
 0  0      0 3901656      0 3510008    0    0     0     0 50925 44234  5 36 58  0  0  0
 1  0      0 3901728      0 3510012    0    0     0     0 50800 44545  5 37 58  0  0  0
 2  0      0 3902072      0 3510016    0    0     0     0 50726 44218  6 35 58  0  0  0
 1  0      0 3901920      0 3510016    0    0     0     0 50844 44354  5 37 58  0  0  0
 1  0      0 3902552      0 3510016    0    0     0     0 50833 44271  5 36 59  0  0  0
 4  0      0 3902088      0 3510016    0    0     0     0 50992 44345  6 36 58  0  0  0
 3  0      0 3901704      0 3510016    0    0     0     0 50668 44140  6 36 58  0  0  0
 0  0      0 3901888      0 3510016    0    0     0     0 50533 43846  6 36 58  0  0  0
 1  0      0 3901236      0 3510016    0    0     0     0 50554 44116  5 36 59  0  0  0
 3  0      0 3902112      0 3510016    0    0     0     0 50809 44260  6 36 58  0  0  0
 2  0      0 3902152      0 3510016    0    0     0     0 51016 44481  5 38 57  0  0  0
 1  0      0 3902200      0 3510016    0    0     0     0 51028 44369  5 37 58  0  0  0
 2  0      0 3901836      0 3510016    0    0     0     0 50809 44356  5 37 58  0  0  0
 1  0      0 3902988      0 3510016    0    0     0     0 12123 10135  1  8 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 3902988      0 3510016    0    0     0     0  365  272  0  0 100  0  0  0
 0  0      0 3902988      0 3510020    0    0     0     0  430  325  0  0 100  0  0  0
 1  0      0 3903148      0 3510020    0    0     0     0  511  408  0  0 100  0  0  0
 1  0      0 3903072      0 3510020    0    0     0     0  699  514  0  1 99  0  0  0
 1  0      0 3903328      0 3510020    0    0     0     0  723  535  0  1 99  0  0  0
 1  0      0 3903328      0 3510020    0    0     0     0  509  442  0  0 100  0  0  0
 2  0      0 3903328      0 3510020    0    0     0     0  568  464  0  0 100  0  0  0
 1  0      0 3903328      0 3510020    0    0     0     0  549  462  0  0 100  0  0  0
 1  0      0 3903328      0 3510020    0    0     0     0  363  284  0  0 100  0  0  0
 0  0      0 3903328      0 3510020    0    0     0     0  625  557  0  0 99  0  0  0
 1  0      0 3903328      0 3510020    0    0     0     0  538  428  0  0 100  0  0  0
