Linux 6.8.0-1063-raspi (cube1-2) 	09/17/26 	_aarch64_	(4 CPU)

17:31:34      UID       PID   cswch/s nvcswch/s  Command
17:31:35     1004   2353560      0.00      0.00  shardkv_gateway
17:31:36     1004   2353560      0.00      0.00  shardkv_gateway
17:31:37     1004   2353560      0.00      0.00  shardkv_gateway
17:31:38     1004   2353560      0.00      0.00  shardkv_gateway
17:31:39     1004   2353560      0.00      0.00  shardkv_gateway
17:31:40     1004   2353560      0.00      0.00  shardkv_gateway
17:31:41     1004   2353560      0.00      0.00  shardkv_gateway
17:31:42     1004   2353560     60.00      5.00  shardkv_gateway
17:31:43     1004   2353560      0.00      0.00  shardkv_gateway
17:31:44     1004   2353560      0.00      0.00  shardkv_gateway
17:31:45     1004   2353560      0.00      0.00  shardkv_gateway
17:31:46     1004   2353560      0.00      0.00  shardkv_gateway
17:31:47     1004   2353560      0.00      0.00  shardkv_gateway
17:31:48     1004   2353560      0.00      0.00  shardkv_gateway
17:31:49     1004   2353560      0.00      0.00  shardkv_gateway
17:31:50     1004   2353560      0.00      0.00  shardkv_gateway
17:31:51     1004   2353560      0.00      0.00  shardkv_gateway
17:31:52     1004   2353560      0.00      0.00  shardkv_gateway
17:31:53     1004   2353560      0.00      0.00  shardkv_gateway
17:31:54     1004   2353560      0.00      0.00  shardkv_gateway
17:31:55     1004   2353560      0.00      0.00  shardkv_gateway
17:31:56     1004   2353560      0.00      0.00  shardkv_gateway
17:31:57     1004   2353560      0.00      0.00  shardkv_gateway
17:31:58     1004   2353560      0.00      0.00  shardkv_gateway
17:31:59     1004   2353560      0.00      0.00  shardkv_gateway
17:32:00     1004   2353560      0.00      0.00  shardkv_gateway
17:32:01     1004   2353560      0.00      0.00  shardkv_gateway
17:32:02     1004   2353560      0.00      0.00  shardkv_gateway
17:32:03     1004   2353560      0.00      0.00  shardkv_gateway
17:32:04     1004   2353560      0.00      0.00  shardkv_gateway
17:32:05     1004   2353560      0.00      0.00  shardkv_gateway
17:32:06     1004   2353560      0.00      0.00  shardkv_gateway
17:32:07     1004   2353560      0.00      0.00  shardkv_gateway
17:32:08     1004   2353560      0.00      0.00  shardkv_gateway
17:32:09     1004   2353560      0.00      0.00  shardkv_gateway
17:32:10     1004   2353560      0.00      0.00  shardkv_gateway
17:32:11     1004   2353560      0.00      0.00  shardkv_gateway
17:32:12     1004   2353560      0.00      0.00  shardkv_gateway
17:32:13     1004   2353560      0.00      0.00  shardkv_gateway
