Linux 6.8.0-1063-raspi (cube1-2) 	09/17/26 	_aarch64_	(4 CPU)

15:56:42      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:56:43     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:44     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:45     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:46     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:47     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:48     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:49     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:50     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:51     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:52     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:53     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:54     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:55     1004   2351439    0.00    1.00    0.00    0.00    1.00     1  shardkv_gateway
15:56:56     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:57     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:58     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:56:59     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:57:00     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:57:01     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:57:02     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:57:03     1004   2351439   17.00  103.00    0.00    0.00  120.00     1  shardkv_gateway
15:57:04     1004   2351439   23.00  124.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:05     1004   2351439   24.00  124.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:06     1004   2351439   19.80  124.75    0.00    0.00  144.55     1  shardkv_gateway
15:57:07     1004   2351439   22.00  125.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:08     1004   2351439   23.00  124.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:09     1004   2351439   22.00  126.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:10     1004   2351439   23.00  125.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:11     1004   2351439   23.00  123.00    0.00    0.00  146.00     1  shardkv_gateway
15:57:12     1004   2351439   23.00  125.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:13     1004   2351439   23.00  125.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:14     1004   2351439   22.00  125.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:15     1004   2351439   24.00  123.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:16     1004   2351439   22.00  124.00    0.00    0.00  146.00     1  shardkv_gateway
15:57:17     1004   2351439   22.00  125.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:18     1004   2351439   24.00  124.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:19     1004   2351439   24.00  124.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:20     1004   2351439   21.00  126.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:21     1004   2351439   22.00  126.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:22     1004   2351439   22.00  126.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:23     1004   2351439   22.00  127.00    0.00    0.00  149.00     1  shardkv_gateway
15:57:24     1004   2351439   24.00  124.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:25     1004   2351439   21.00  127.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:26     1004   2351439   21.00  128.00    0.00    0.00  149.00     1  shardkv_gateway
15:57:27     1004   2351439   24.00  123.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:28     1004   2351439   26.00  124.00    0.00    0.00  150.00     1  shardkv_gateway
15:57:29     1004   2351439   22.00  124.00    0.00    0.00  146.00     1  shardkv_gateway
15:57:30     1004   2351439   22.00  125.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:31     1004   2351439   25.00  124.00    0.00    0.00  149.00     1  shardkv_gateway
15:57:32     1004   2351439   23.00  124.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:33     1004   2351439   24.00  124.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:34     1004   2351439   26.00  121.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:35     1004   2351439   24.00  123.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:36     1004   2351439   20.00  123.00    0.00    0.00  143.00     1  shardkv_gateway
15:57:37     1004   2351439   24.00  122.00    0.00    0.00  146.00     1  shardkv_gateway
15:57:38     1004   2351439   23.00  124.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:39     1004   2351439   20.00  128.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:40     1004   2351439   21.00  126.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:41     1004   2351439   23.00  124.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:42     1004   2351439   24.00  124.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:43     1004   2351439   22.00  126.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:44     1004   2351439   23.00  125.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:45     1004   2351439   20.00  127.00    0.00    0.00  147.00     1  shardkv_gateway
