t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0035,1123,95,1028,0,16,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,0
15.0037,2296,198,2098,0,16,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,0
16.0039,2301,231,2070,0,16,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301,0
17.0041,2319,234,2085,0,16,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,0
18.0043,2341,246,2095,0,16,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,0
19.0045,2341,254,2087,0,16,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,0
20.0047,2366,261,2105,0,16,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,0
21.0049,2351,286,2065,0,16,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,0
22.0051,2294,266,2028,0,16,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,0
23.0053,2346,299,2047,0,16,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,0
24.0055,2316,281,2035,0,16,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,0
25.0057,2334,302,2032,0,16,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,0
26.0059,2394,323,2071,0,16,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,0
27.0061,2344,346,1998,0,16,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,0
28.0063,2337,319,2018,0,16,2337,2337,2337,2337,2337,2337,2337,2337,2337,2337,2337,2337,0
29.0065,2414,422,1992,0,16,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,0
30.0067,2350,369,1981,0,16,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0
31.0069,2273,424,1849,0,16,2273,2273,2273,2273,2273,2273,2273,2273,2273,2273,2273,2273,0
32.0071,2438,423,2015,0,16,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438,0
33.0073,2340,417,1923,0,16,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,0
34.0075,2362,417,1945,0,16,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,0
35.0077,2318,427,1891,0,16,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,0
36.0079,2331,447,1884,0,16,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,0
37.0081,2323,470,1853,0,16,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,0
38.0083,2359,447,1912,0,16,2359,2359,2359,2359,2359,2359,2359,2359,2359,2359,2359,2359,0
39.0085,2385,469,1916,0,16,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,0
40.0087,2365,466,1899,0,16,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,0
41.0089,2295,462,1833,0,16,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,0
42.0091,2399,513,1886,0,16,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,0
43.0093,2052,450,1602,0,16,2050,2052,2052,2052,2052,2052,2052,2052,2052,2052,2052,2052,0
44.0095,2356,545,1811,0,16,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,0
45.0097,2323,530,1793,0,16,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,0
46.0099,2364,516,1848,0,16,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,0
47.0101,2286,526,1760,0,16,2286,2286,2286,2286,2286,2286,2286,2286,2286,2286,2286,2286,0
