t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,queue_len,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_workers,waiting_s0,waiting_s1,waiting_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00207,4460,370,4090,0,0,0,0,1,0.0522237,0.053187,0.0521846,0.0512992,1,0,1,0,64,4409,4454,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,0
9.00224,6987,640,6347,0,0,0,0,0,0.0470662,0.0471116,0.0463601,0.0477207,3,0,0,1,64,6985,6987,6987,6987,6987,6987,6987,6987,6987,6987,6987,6987,0
10.0024,7012,629,6383,0,0,0,0,0,0.0474685,0.0474661,0.047249,0.0476829,3,2,0,1,64,7006,7011,7012,7012,7012,7012,7012,7012,7012,7012,7012,7012,0
11.0026,6966,711,6255,0,0,0,0,0,0.0491659,0.0492578,0.0496237,0.0486242,2,0,1,1,64,6951,6966,6966,6966,6966,6966,6966,6966,6966,6966,6966,6966,0
12.0029,6995,686,6309,0,0,0,0,0,0.0490239,0.0482462,0.0504,0.0483714,2,2,0,0,64,6981,6994,6995,6995,6995,6995,6995,6995,6995,6995,6995,6995,0
13.0031,7033,742,6291,0,0,0,0,0,0.0475869,0.0477551,0.0474413,0.0475625,2,1,1,0,64,7029,7033,7033,7033,7033,7033,7033,7033,7033,7033,7033,7033,0
14.0033,7059,783,6276,0,0,0,0,0,0.0474586,0.047464,0.047347,0.0475681,6,1,2,2,64,7056,7059,7059,7059,7059,7059,7059,7059,7059,7059,7059,7059,0
15.0034,7021,867,6154,0,0,0,0,1,0.0472587,0.0461719,0.0473328,0.0482881,1,1,0,0,64,7020,7021,7021,7021,7021,7021,7021,7021,7021,7021,7021,7021,0
16.0036,6987,849,6138,0,0,0,0,0,0.0467514,0.046625,0.0470285,0.0466039,1,0,0,1,64,6987,6987,6987,6987,6987,6987,6987,6987,6987,6987,6987,6987,0
17.0038,7024,891,6133,0,0,0,0,0,0.0536652,0.0554346,0.0524083,0.0531981,3,1,2,0,64,6989,7016,7024,7024,7024,7024,7024,7024,7024,7024,7024,7024,0
18.004,7027,907,6120,0,0,0,0,0,0.0481577,0.0484254,0.0486165,0.0474345,4,1,1,2,64,7018,7027,7027,7027,7027,7027,7027,7027,7027,7027,7027,7027,0
