procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3901224      0 3509976    0    0     0     0  620    1  0  0 99  0  0  0
 0  0      0 3901300      0 3509980    0    0     0     0 1108  932  0  1 98  0  0  0
 1  0      0 3901300      0 3509980    0    0     0     0  670  494  0  0 99  0  0  0
 1  0      0 3901300      0 3509980    0    0     0     0  717  685  0  1 99  0  0  0
 1  0      0 3901300      0 3509980    0    0     0     0  537  442  0  1 100  0  0  0
 0  0      0 3901300      0 3509980    0    0     0     0  681  634  0  0 100  0  0  0
 1  0      0 3901300      0 3509980    0    0     0     0  472  371  0  0 100  0  0  0
 1  0      0 3901300      0 3509980    0    0     0     0  404  283  0  1 100  0  0  0
 1  0      0 3901300      0 3509980    0    0     0     0  688  572  0  1 99  0  0  0
 0  0      0 3901300      0 3509980    0    0     0     0  586  478  0  0 100  0  0  0
 0  0      0 3899120      0 3509980    0    0     0     0 14834 12450  2 11 87  0  0  0
 3  0      0 3898412      0 3509996    0    0     0     0 50353 43803  6 37 58  0  0  0
 1  0      0 3898076      0 3509996    0    0     0     0 50770 43938  6 36 58  0  0  0
 0  0      0 3898304      0 3509996    0    0     0     0 50855 44249  6 36 58  0  0  0
 2  0      0 3898480      0 3509996    0    0     0     0 50437 43788  5 36 59  0  0  0
 2  0      0 3898632      0 3509996    0    0     0     0 50579 44146  5 36 58  0  0  0
 2  0      0 3898352      0 3509996    0    0     0     0 51151 44533  6 36 58  0  0  0
 2  0      0 3899108      0 3510000    0    0     0     0 51269 44773  5 37 58  0  0  0
 1  0      0 3898544      0 3510000    0    0     0     0 51356 45047  6 37 57  0  0  0
 3  0      0 3898496      0 3510000    0    0     0     0 51114 44651  6 36 59  0  0  0
 2  0      0 3898592      0 3510000    0    0     0     0 50753 44150  6 37 58  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 3898272      0 3510000    0    0     0     0 51079 44587  6 36 58  0  0  0
 1  0      0 3898432      0 3510000    0    0     0     0 50223 43665  6 36 59  0  0  0
 0  0      0 3898384      0 3510000    0    0     0     0 51004 44493  6 37 58  0  0  0
 3  0      0 3898040      0 3510000    0    0     0     0 50624 44066  6 35 59  0  0  0
 0  0      0 3898032      0 3510000    0    0     0     0 50953 44437  6 36 58  0  0  0
 3  0      0 3898092      0 3510000    0    0     0     0 50881 44419  6 36 58  0  0  0
 1  0      0 3898016      0 3510000    0    0     0     0 50923 44407  6 36 58  0  0  0
 4  0      0 3898328      0 3510000    0    0     0     0 51230 44610  5 37 58  0  0  0
 3  0      0 3898472      0 3510000    0    0     0     0 50743 44213  5 36 59  0  0  0
 3  0      0 3898004      0 3510000    0    0     0     0 51048 44617  6 36 58  0  0  0
 2  0      0 3897904      0 3510000    0    0     0     0 50855 44213  6 37 58  0  0  0
 3  0      0 3898200      0 3510000    0    0     0     0 50982 44512  6 36 58  0  0  0
 2  0      0 3898176      0 3510000    0    0     0     0 51075 44532  5 37 58  0  0  0
 5  0      0 3898704      0 3510004    0    0     0     0 50912 44434  6 37 58  0  0  0
 1  0      0 3898204      0 3510004    0    0     0     0 50951 44509  6 36 58  0  0  0
 1  0      0 3898272      0 3510004    0    0     0     0 50920 44427  6 37 58  0  0  0
 2  0      0 3898440      0 3510004    0    0     0     0 50561 43688  6 36 59  0  0  0
 0  0      0 3898488      0 3510004    0    0     0     0 50894 44200  5 37 58  0  0  0
 4  0      0 3898268      0 3510004    0    0     0     0 50874 44290  6 36 58  0  0  0
 2  0      0 3898152      0 3510004    0    0     0     0 50614 44082  6 36 58  0  0  0
 2  0      0 3898400      0 3510004    0    0     0     0 50945 44629  6 36 57  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 3897952      0 3510004    0    0     0     0 50370 43829  6 36 58  0  0  0
 1  0      0 3898272      0 3510008    0    0     0     0 48768 42473  5 35 60  0  0  0
 3  0      0 3897864      0 3510008    0    0     0     0 50471 43797  5 35 59  0  0  0
 1  0      0 3898392      0 3510008    0    0     0     0 50351 43967  6 36 58  0  0  0
 1  0      0 3898408      0 3510008    0    0     0     0 50609 44105  5 37 58  0  0  0
 2  0      0 3898308      0 3510008    0    0     0     0 50766 44347  6 37 57  0  0  0
 3  0      0 3898564      0 3510008    0    0     0     0 50542 44062  6 37 58  0  0  0
 1  0      0 3898332      0 3510008    0    0     0     0 50923 44380  6 36 58  0  0  0
 1  0      0 3898628      0 3510008    0    0     0     0 50741 44373  6 36 58  0  0  0
 1  0      0 3898072      0 3510008    0    0     0     0 51004 44673  6 37 57  0  0  0
 2  0      0 3898696      0 3510008    0    0     0     0 50492 43888  5 36 58  0  0  0
 1  0      0 3898712      0 3510012    0    0     0     0 50737 44278  5 37 58  0  0  0
 3  0      0 3899272      0 3510012    0    0     0     0 50645 44089  5 38 57  0  0  0
