t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.0089,405,35,370,0,5,405,405,405,405,405,405,405,405,405,405,405,405,0
37.0091,2338,214,2124,0,5,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,0
38.0093,2350,201,2149,0,5,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0
39.0095,2364,225,2139,0,5,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,0
