t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,q0,q1,q2,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_s0,active_s1,active_s2,waiting_s0,waiting_s1,waiting_s2,circuit_s0,circuit_s1,circuit_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0041,1797,164,1633,0,0,0,0,1,0,0,0.0587549,0.0594202,0.0560059,0.0609518,1,1,0,1,1,0,0,0,0,64,1781,1784,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,0
16.0042,6995,597,6398,0,0,0,0,0,0,0,0.0506066,0.0501728,0.0517033,0.0499497,2,0,2,2,0,2,0,0,0,64,6994,6995,6995,6995,6995,6995,6995,6995,6995,6995,6995,6995,0
17.0044,7049,608,6441,0,0,0,0,0,0,0,0.0509057,0.0506546,0.0522264,0.0498767,2,0,0,2,0,0,0,0,0,64,7044,7049,7049,7049,7049,7049,7049,7049,7049,7049,7049,7049,0
18.0046,7063,707,6356,0,0,0,0,0,1,0,0.0506688,0.0512182,0.0498744,0.0509254,3,0,1,3,0,0,0,0,0,64,7053,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,0
19.0048,7130,735,6395,0,0,0,0,0,0,0,0.0508789,0.0500164,0.0511437,0.0514641,0,0,2,0,0,2,0,0,0,64,7124,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,0
20.0051,7105,727,6378,0,0,0,0,1,0,0,0.0498112,0.0502661,0.0497085,0.049482,1,0,1,2,0,1,0,0,0,64,7104,7105,7105,7105,7105,7105,7105,7105,7105,7105,7105,7105,0
21.0055,7134,784,6350,0,0,0,0,1,0,0,0.0497721,0.0502326,0.0496345,0.0494386,1,0,0,1,0,0,0,0,0,64,7133,7134,7134,7134,7134,7134,7134,7134,7134,7134,7134,7134,0
