t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0025,598,54,544,0,5,598,598,598,598,598,598,598,598,598,598,598,598,0
11.0027,2355,195,2160,0,5,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,0
12.0029,2041,203,1838,0,5,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,0
13.0032,2343,230,2113,0,5,2343,2343,2343,2343,2343,2343,2343,2343,2343,2343,2343,2343,0
14.0034,2338,249,2089,0,5,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,0
15.0036,2426,255,2171,0,5,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426,0
16.0038,2348,254,2094,0,5,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,0
17.004,2385,280,2105,0,5,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,0
18.0042,2393,290,2103,0,5,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,0
19.0044,2347,290,2057,0,5,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,0
20.0046,2387,294,2093,0,5,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,0
21.0048,2403,315,2088,0,5,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,0
22.005,2335,303,2032,0,5,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,0
23.0052,2408,349,2059,0,5,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,0
24.0054,2379,322,2057,0,5,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,0
25.0056,2388,378,2010,0,5,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,0
26.0059,2422,419,2003,0,5,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,0
27.0061,2290,392,1898,0,5,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,0
28.0062,2471,448,2023,0,5,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,0
29.0064,2396,406,1990,0,5,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,0
30.0066,2362,434,1928,0,5,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,0
31.0068,2325,432,1893,0,5,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,0
32.0071,2324,461,1863,0,5,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,0
33.0073,2419,456,1963,0,5,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,0
34.0076,2397,460,1937,0,5,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,0
35.0078,2455,489,1966,0,5,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,0
36.008,2362,484,1878,0,5,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,0
