t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,q0,q1,q2,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_s0,active_s1,active_s2,waiting_s0,waiting_s1,waiting_s2,circuit_s0,circuit_s1,circuit_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00147,116,8,108,0,0,0,0,0,0,0,0.0805209,0.0826918,0.0786354,0.0800642,0,0,1,0,0,1,0,0,0,17,101,108,116,116,116,116,116,116,116,116,116,116,0
6.00177,6497,560,5937,0,0,0,0,1,0,0,0.0526468,0.0528624,0.0525383,0.0525411,1,0,1,1,0,0,0,0,0,64,6489,6497,6497,6497,6497,6497,6497,6497,6497,6497,6497,6497,0
7.00201,6262,553,5709,0,0,0,0,1,0,0,0.0517818,0.0508646,0.0515869,0.0528687,2,0,0,1,0,0,0,0,0,64,6259,6262,6262,6262,6262,6262,6262,6262,6262,6262,6262,6262,0
8.00218,7072,657,6415,0,0,0,0,1,0,0,0.0501534,0.0497093,0.0503609,0.0504002,0,0,1,0,0,1,0,0,0,64,7069,7072,7072,7072,7072,7072,7072,7072,7072,7072,7072,7072,0
9.00235,7078,745,6333,0,0,0,0,0,0,0,0.0491905,0.0488027,0.0493965,0.0493606,1,1,0,1,0,0,0,0,0,64,7077,7078,7078,7078,7078,7078,7078,7078,7078,7078,7078,7078,0
10.0025,7141,706,6435,0,0,0,0,0,0,0,0.050466,0.0505937,0.050597,0.0502105,0,0,1,0,0,1,0,0,0,64,7139,7140,7141,7141,7141,7141,7141,7141,7141,7141,7141,7141,0
