variant,run,group,phase,requests,req_s,success_pct,error_pct,p50_ms,p95_ms,p99_ms
baseline,1,healthy,pre_brownout,93582,4679.1,100.0,0.0,8.337508887052536,20.068299025297165,27.259820140898228
baseline,2,healthy,pre_brownout,92317,4615.85,100.0,0.0,8.508321130648255,20.2528671361506,27.461553923785686
baseline,3,healthy,pre_brownout,93740,4687.0,100.0,0.0,8.374155033379793,19.985423889011145,27.311441022902727
baseline,mean,healthy,pre_brownout,93213.0,4660.650000000001,100.0,0.0,8.406661683693528,20.1021966834863,27.344271695862215
baseline,1,affected,pre_brownout,47010,2350.5,100.0,0.0,8.379379054531455,19.931782968342304,27.013025945052505
baseline,2,affected,pre_brownout,46405,2320.25,100.0,0.0,8.445840096101165,20.29253402724862,27.287831995636225
baseline,3,affected,pre_brownout,47130,2356.5,100.0,0.0,8.303784998133779,19.92697990499437,26.89633402042091
baseline,mean,affected,pre_brownout,46848.333333333336,2342.4166666666665,100.0,0.0,8.376334716255466,20.050432300195098,27.065730653703213
baseline,1,healthy,brownout,10428,695.2,99.30955120828538,0.6904487917146145,8.458360098302364,20.594311878085136,32.13032707571983
baseline,2,healthy,brownout,9717,647.8,99.3001955336009,0.6998044663990943,8.62980098463595,21.08871005475521,32.2011720854789
baseline,3,healthy,brownout,10490,699.3333333333334,99.33269780743565,0.667302192564347,8.394598960876465,21.2359840516001,33.02775206975639
baseline,mean,healthy,brownout,10211.666666666666,680.7777777777778,99.3141481831073,0.6858518168926853,8.49425334793826,20.973001994813483,32.45308374365171
baseline,1,affected,brownout,5275,351.6666666666667,98.93838862559242,1.061611374407583,8.35513905622065,20.42981400154531,5004.995353985578
baseline,2,affected,brownout,4965,331.0,98.79154078549848,1.2084592145015105,8.469654014334083,21.003267029300332,5006.03190693073
baseline,3,affected,brownout,5295,353.0,98.90462700661001,1.0953729933899905,8.439894067123532,21.30692801438272,5004.691533977166
baseline,mean,affected,brownout,5178.333333333333,345.22222222222223,98.87818547256697,1.121814527433028,8.421562379226089,20.913336348409455,5005.239598297824
baseline,1,healthy,recovery,103180,4127.2,99.95832525683272,0.04167474316728048,8.327489951625466,19.886374939233065,27.30805892497301
baseline,2,healthy,recovery,101430,4057.2,99.9546485260771,0.045351473922902494,8.475820999592543,20.34120005555451,27.904474176466465
baseline,3,healthy,recovery,102414,4096.56,99.95410783681919,0.04589216318081512,8.393968921154737,20.047459984198213,27.78673218563199
baseline,mean,healthy,recovery,102341.33333333333,4093.653333333333,99.955693873243,0.04430612675699937,8.399093290790915,20.091678326328594,27.666421762357157
baseline,1,affected,recovery,51544,2061.76,99.95925810957628,0.04074189042371566,8.381044957786798,19.81376390904188,27.501150034368038
baseline,2,affected,recovery,50599,2023.96,99.96442617443033,0.03557382556967529,8.509080158546567,20.383384078741074,28.238469967618585
baseline,3,affected,recovery,51115,2044.6,99.96674166096058,0.033258339039420916,8.396764984354377,20.027755992487073,27.194015914574265
baseline,mean,affected,recovery,51086.0,2043.44,99.96347531498907,0.03652468501093729,8.428963366895914,20.074967993423343,27.644545305520296
baseline,1,healthy,normal_run,282275,4704.583333333333,100.0,0.0,8.360449923202395,19.88723687827587,27.178568998351693
baseline,2,healthy,normal_run,283200,4720.0,100.0,0.0,8.313747122883797,19.79192183353007,26.94566291756928
baseline,3,healthy,normal_run,278907,4648.45,100.0,0.0,8.43137502670288,20.097530214115977,27.42769499309361
baseline,mean,healthy,normal_run,281460.6666666667,4691.011111111111,100.0,0.0,8.368524024263024,19.925562975307304,27.183975636338193
baseline,1,affected,normal_run,141477,2357.95,100.0,0.0,8.336541941389441,19.84127494506538,27.008255943655968
baseline,2,affected,normal_run,141994,2366.5666666666666,100.0,0.0,8.341172011569142,19.76564503274858,27.306732954457402
baseline,3,affected,normal_run,139696,2328.266666666667,100.0,0.0,8.415209129452705,20.14730777591467,27.816337998956442
baseline,mean,affected,normal_run,141055.66666666666,2350.927777777778,100.0,0.0,8.364307694137096,19.918075917909544,27.37710896568994
isolated,1,healthy,pre_brownout,94802,4740.1,100.0,0.0,8.317817002534866,19.66043491847813,26.592805050313473
isolated,2,healthy,pre_brownout,93519,4675.95,100.0,0.0,8.364187087863684,20.047135883942246,27.636943152174354
isolated,3,healthy,pre_brownout,94357,4717.85,100.0,0.0,8.373243035748601,19.713768968358636,26.667749043554068
isolated,mean,healthy,pre_brownout,94226.0,4711.3,100.0,0.0,8.35174904204905,19.80711325692634,26.965832415347297
isolated,1,affected,pre_brownout,47596,2379.8,100.0,0.0,8.33918689750135,19.766174955293536,26.345586171373725
isolated,2,affected,pre_brownout,47014,2350.7,100.0,0.0,8.397242985665798,19.99967312440276,27.143652085214853
isolated,3,affected,pre_brownout,47423,2371.15,100.0,0.0,8.391631068661809,19.73749091848731,26.610565138980746
isolated,mean,affected,pre_brownout,47344.333333333336,2367.2166666666667,100.0,0.0,8.37602031727632,19.834446332727868,26.699934465189774
isolated,1,healthy,brownout,69915,4661.0,100.0,0.0,8.285503135994077,19.71232402138412,26.841988088563085
isolated,2,healthy,brownout,68748,4583.2,100.0,0.0,8.356447098776698,20.173411816358566,27.349204989150167
isolated,3,healthy,brownout,69630,4642.0,100.0,0.0,8.31231800839305,19.813637947663665,27.012744918465614
isolated,mean,healthy,brownout,69431.0,4628.733333333334,100.0,0.0,8.318089414387941,19.899791261802118,27.067979332059622
isolated,1,affected,brownout,34933,2328.866666666667,13.981049437494633,86.01895056250537,8.274837164208293,19.736416870728135,27.71673700772226
isolated,2,affected,brownout,34177,2278.4666666666667,13.965532375574217,86.03446762442579,8.42613191343844,20.280615193769336,28.585450956597924
isolated,3,affected,brownout,34731,2315.4,13.849298897238778,86.15070110276122,8.33746581338346,19.900914980098605,28.05627090856433
isolated,mean,affected,brownout,34613.666666666664,2307.577777777778,13.931960236769209,86.06803976323079,8.34614496367673,19.972649014865357,28.119486290961504
isolated,1,healthy,recovery,117385,4695.4,100.0,0.0,8.348799077793956,19.831564044579864,27.372741140425205
isolated,2,healthy,recovery,115805,4632.2,100.0,0.0,8.439908968284726,20.16618917696178,27.339074993506074
isolated,3,healthy,recovery,117875,4715.0,100.0,0.0,8.34172498434782,19.762379117310047,26.585768908262253
isolated,mean,healthy,recovery,117021.66666666667,4680.866666666667,100.0,0.0,8.376811010142168,19.920044112950563,27.09919501406451
isolated,1,affected,recovery,58920,2356.8,86.56822810590631,13.431771894093686,8.346372982487082,19.89284111186862,27.608035132288933
isolated,2,affected,recovery,58247,2329.88,86.39929953473998,13.600700465260013,8.461520075798035,20.16517100855708,27.21122419461608
isolated,3,affected,recovery,59181,2367.24,86.7102617394096,13.289738260590392,8.31689196638763,19.71760205924511,26.73489600419998
isolated,mean,affected,recovery,58782.666666666664,2351.306666666667,86.5592631266853,13.440736873314696,8.374928341557583,19.925204726556938,27.184718443701666
isolated,1,healthy,normal_run,276280,4604.666666666667,100.0,0.0,8.498680079355836,20.328719168901443,27.529783081263304
isolated,2,healthy,normal_run,282138,4702.3,100.0,0.0,8.35197581909597,19.855162128806114,26.94128197617829
isolated,3,healthy,normal_run,277397,4623.283333333334,100.0,0.0,8.4481758531183,20.22165502421558,27.54324907436967
isolated,mean,healthy,normal_run,278605.0,4643.416666666667,100.0,0.0,8.432943917190036,20.135178773974378,27.338104710603755
isolated,1,affected,normal_run,138527,2308.7833333333333,100.0,0.0,8.535736007615924,20.28438518755138,27.432283153757453
isolated,2,affected,normal_run,141538,2358.9666666666667,100.0,0.0,8.330642944201827,19.8457189835608,27.17776084318757
isolated,3,affected,normal_run,139087,2318.116666666667,100.0,0.0,8.493565022945404,20.22959990426898,27.277307817712426
isolated,mean,affected,normal_run,139717.33333333334,2328.6222222222223,100.0,0.0,8.453314658254385,20.119901358460385,27.29578393821915
